,MOFA_miRNA_Factor1,MOFA_miRNA_Factor2,MOFA_miRNA_Factor3,MOFA_miRNA_Factor4,MOFA_miRNA_Factor5
TCGA.A1.A0SF,-0.9121280542149053,0.09846616698349196,0.2804738183320964,-0.3973197431543757,-0.2644706412809769
TCGA.A1.A0SI,-0.7381815360930232,0.8655774658972324,0.620368907383546,-1.5803265466305814,-0.06384078376338295
TCGA.A1.A0SN,-1.0888393085014794,-0.8592357450613863,0.822145831365714,-1.6443080930978708,-0.2057424396769274
TCGA.A1.A0SQ,-0.611485388726393,-2.6252147132617623,1.7594988686085788,-1.2459483551798591,-0.22287373548582767
TCGA.A2.A0CK,-0.8708839122560483,0.2106990081194514,-0.2862059977350509,1.301415032487904,-0.3152684112657093
TCGA.A2.A0CO,-1.4726599681171795,0.05320084945906564,-0.43746140832039815,0.8724622792859473,0.20869719519950092
TCGA.A2.A0CR,-1.5441690967859687,0.28121788297232414,-0.7778186961218448,1.0028688267903312,-0.33596904171795966
TCGA.A2.A0EP,-0.13487014056383112,2.814315663051089,-1.025354425209312,1.681972938390958,1.077627459517766
TCGA.A2.A1FV,-0.36834628226860083,-0.2864796296526035,0.5326044104447658,1.6455028602148842,-0.38240224373820386
TCGA.A2.A1FW,0.22862546730071134,-0.6123676653344241,1.336248064271884,0.8321501534289845,-0.1502528023275926
TCGA.A2.A1FX,-0.8154556590499519,-0.8255766417539798,-0.5126338530862273,-0.18664535910182123,-0.4222592050345807
TCGA.A2.A1FZ,0.36219894861931273,0.5503090010968454,0.6386577947893299,-0.906626831094768,-0.13124783805325546
TCGA.A2.A1G0,-0.9921070834876679,0.02114882257552729,0.8354898221152285,1.0776239606624083,-0.017827960000700777
TCGA.A2.A1G1,1.555762374675486,0.7658221880689996,0.14817019174997978,0.9671587794242987,-0.6612173074136407
TCGA.A2.A1G4,1.8468015399599278,-0.019803561809010977,1.5733212583281801,2.5853649518955897,-0.49173403086226425
TCGA.A2.A259,-1.4111100403481345,-0.14913440015100937,-1.2384529768123387,-0.8779001008606125,-0.3753491388685721
TCGA.A2.A25B,1.5827839841282034,-0.4607282566442253,0.6645387794899674,-2.082958153967009,-0.7973442206693994
TCGA.A2.A25C,1.4580362684243118,0.3848616126388039,1.3373665259660708,-2.248402081523164,-0.5242439275424272
TCGA.A2.A25D,-0.6993356535723521,-1.543151302276856,-1.3454379822150446,0.9863393080671073,0.8025342087696392
TCGA.A2.A25E,2.090714040783138,-0.2453894426138287,0.5199199593638694,-1.9058452654480147,-0.8816990270920998
TCGA.A2.A25F,1.996958443793448,1.3909216619443938,-1.8602037608011421,-3.026692558824965,0.7376197549775332
TCGA.A2.A3KC,-1.5189880848946213,0.6161798155409016,-0.8710620589417909,0.504215572381136,0.08596566405018724
TCGA.A2.A3KD,-1.3037715045053562,0.6163244023852582,-0.7215684381531084,0.9884457410992138,-0.19482642891197813
TCGA.A2.A3XS,1.8917965204361726,0.6422841365722716,-1.9502387876041856,0.48521205116583893,0.42412362133852805
TCGA.A2.A3XT,1.7364744976118907,0.4991159958841312,-1.8274615353737529,0.7514635214250441,5.250812155966027
TCGA.A2.A3XU,1.9203549409357454,-1.4397214875331017,-2.2475631855143297,0.29628520327737384,0.17018760752898968
TCGA.A2.A3XV,0.5273639518014593,0.4514653803563267,-0.5754447138604989,0.2181224493579427,-0.18102468370175395
TCGA.A2.A3XX,1.6051345973202835,0.3607149535674913,-2.296385818474363,-0.5724670229638099,1.461922714115834
TCGA.A2.A3XY,0.531344361572661,1.0378611657023773,-2.2671738261020704,0.05834694370417465,1.5537385609120935
TCGA.A2.A3XZ,-0.7791266566803561,0.05402706569517417,-0.9098787140859598,-0.38156638759191813,0.1355730426664813
TCGA.A2.A3Y0,1.7991547436614126,-0.36455936014233015,-1.9271458645704151,-0.025403008377005185,4.016052392090415
TCGA.A2.A4RW,-1.671790415442904,-0.9492986948451906,-0.7717950826092727,-0.6744380062795624,-0.11440790918785763
TCGA.A2.A4RX,-0.23398386519720404,-0.04436130898534493,-1.2771080795856051,-0.2941033263876479,-0.6159568326922982
TCGA.A2.A4S0,-0.7418951575954621,-3.2643426527009156,0.7203207076482376,0.25632178114604404,-0.18452356937911593
TCGA.A2.A4S2,-1.0025423517067322,-0.39368974929066747,0.3320605752189326,0.5432620903376519,-0.08938709926086327
TCGA.A2.A4S3,-0.0429413353442103,-0.42362957261595274,-0.9735648513083863,0.06930265810032096,-0.4952890215393073
TCGA.A7.A13D,1.2880448507153024,-0.0288941187714971,-1.452137240444179,-0.43323110509623236,2.6983328999296416
TCGA.A7.A13E,0.647534864053071,-0.17240192517782266,-1.1933809561742326,-0.11516615021192769,-0.10111121909703435
TCGA.A7.A13F,0.5621373104165677,-0.47506243049746555,0.1690806872578027,0.3939976351908052,-0.15243601060016704
TCGA.A7.A13G,0.03875696928933447,0.44967546066091135,2.1887587969138673,0.8945384444821384,-0.11890571813399008
